full_name,age,gender,nationality,medical_school,registration_id,email,phone,year,rotations,teaching_hours,created_at,sponsoring_institution,ultrasound_trauma_done,ultrasound_trauma_total,ultrasound_cardiac_done,ultrasound_cardiac_total,ultrasound_lung_done,ultrasound_lung_total,adult_med_done,adult_med_total,adult_trauma_done,adult_trauma_total,ed_ultrasound_done,ed_ultrasound_total,MMed_A_Status,MMed_B_Status,MMed_C_Status,Teaching_Admin_Status,Clinical_Viva_Status,CAT_Status,ABMS_MCQs_Status,EPA1,EPA2,EPA3,EPA4,EPA5,EPA6,EPA7,EPA8,EPA1_Completed,EPA2_Completed,EPA3_Completed,EPA4_Completed,EPA5_Completed,EPA6_Completed,EPA7_Completed,EPA8_Completed
Alice Tan,28,Female,Singapore,National University of Singapore,REG001,alice.tan@example.com,91234567,1,"Trauma;Cardiac;ED",45,2025-12-12T00:00:00Z,SingHealth,3,25,15,25,19,25,8,45,13,35,146,165,Pass,Pass,Pending,Pass,Fail,Pending,Pending,2,2,2,1,1,1,1,1,Yes,No,No,No,No,No,No,No
Bob Lim,29,Male,Singapore,National University of Singapore,REG002,bob.lim@example.com,98765432,2,"Trauma;Lung;ED",60,2025-12-12T00:00:00Z,NHS,25,25,20,25,23,25,45,45,35,35,165,165,Pass,Pending,Pending,Pass,Pass,Pending,Pending,4,4,3,4,3,4,4,4,Yes,Yes,No,Yes,No,Yes,Yes,Yes
Carol Ong,27,Female,Singapore,NUHS,REG003,carol.ong@example.com,91234569,2,"Orthopaedics;Paediatrics;ED",50,2025-12-12T00:00:00Z,NUHS,12,25,18,25,20,25,20,45,18,35,150,165,Pass,Pass,Pending,Pass,Pending,Pending,Pending,2,3,2,2,1,3,2,2,Yes,Yes,No,No,No,Yes,No,No
David Lee,30,Male,Australia,Melbourne Uni,REG004,david.lee@example.com,91234570,3,"ED;O&G;Critical Care",55,2025-12-12T00:00:00Z,SingHealth,20,25,15,25,12,25,25,45,20,35,160,165,Pass,Pass,Pass,Pass,Pass,Pending,Pending,3,3,3,3,3,3,3,3,Yes,Yes,Yes,Yes,Yes,No,No,No
Eva Goh,31,Female,Singapore,NUHS,REG005,eva.goh@example.com,91234571,3,"Critical Care;ED;Cardiology",60,2025-12-12T00:00:00Z,NUHS,25,25,22,25,24,25,40,45,30,35,165,165,Pass,Pass,Pending,Pass,Pass,Pending,Pending,4,4,3,4,3,4,4,4,Yes,Yes,No,Yes,No,Yes,Yes,Yes
Frank Tan,32,Male,UK,King's College,REG006,frank.tan@example.com,91234572,3,"Neurology;Paediatrics;ED",50,2025-12-12T00:00:00Z,NUHS,15,25,17,25,19,25,22,45,20,35,140,165,Pass,Pending,Pending,Pass,Pending,Pending,Pending,3,2,2,3,2,3,3,2,Yes,No,No,Yes,No,Yes,Yes,No
Grace Lim,28,Female,Singapore,NUHS,REG007,grace.lim@example.com,91234573,3,"ED;Paediatrics;O&G",48,2025-12-12T00:00:00Z,SingHealth,10,25,12,25,15,25,18,45,12,35,120,165,Pass,Pass,Pending,Pass,Fail,Pending,Pending,2,2,2,2,2,2,2,2,Yes,No,No,No,No,No,No,No
Henry Chua,29,Male,New Zealand,Otago,REG008,henry.chua@example.com,91234574,4,"General Surgery;ED;Orthopaedics",55,2025-12-12T00:00:00Z,SingHealth,20,25,18,25,22,25,25,45,30,35,160,165,Pass,Pass,Pending,Pass,Pass,Pending,Pending,3,3,3,3,3,3,3,3,Yes,Yes,No,Yes,Yes,No,No,No
Irene Tan,27,Female,Singapore,NUHS,REG009,irene.tan@example.com,91234575,4,"Respiratory;Critical Care;ED",52,2025-12-12T00:00:00Z,NUHS,23,25,20,25,21,25,28,45,25,35,155,165,Pass,Pass,Pending,Pass,Pending,Pending,Pending,4,3,3,3,3,3,4,3,Yes,Yes,No,Yes,No,No,No,Yes
Jason Ng,30,Male,Malaysia,UM,REG010,jason.ng@example.com,91234576,4,"ED;Elective;Cross Cluster",60,2025-12-12T00:00:00Z,SingHealth,25,25,25,25,25,25,45,45,35,35,165,165,Pass,Pass,Pass,Pass,Pass,Pending,Pending,4,4,4,4,4,4,4,4,Yes,Yes,Yes,Yes,Yes,No,No,No
Kelly Lim,31,Female,Singapore,NUHS,REG011,kelly.lim@example.com,91234577,4,"O&G;ED;Paediatrics",50,2025-12-12T00:00:00Z,NUHS,15,25,17,25,19,25,22,45,20,35,140,165,Pass,Pending,Pending,Pass,Fail,Pending,Pending,3,2,2,3,2,3,3,2,Yes,No,No,Yes,No,Yes,Yes,No
Liam Wong,32,Male,Singapore,NUHS,REG012,liam.wong@example.com,91234578,4,"ED;Critical Care",48,2025-12-12T00:00:00Z,SingHealth,10,25,12,25,15,25,18,45,12,35,120,165,Pass,Pass,Pending,Pass,Fail,Pending,Pending,2,2,2,2,2,2,2,2,Yes,No,No,No,No,No,No,No
